"","Source","Stakeholder","Response","assignment","sentiment"
"960","13th April: Frontline other","All","close dialogue with industry who will deliver the tech innovations needed","Innovation and scaling for digital solutions (inc funding)",0
"961","13th April: Frontline other","All","How will things be commissioned? savings in digitalisation wont be realised in a 3 year timeframe so need to pump in more money","Innovation and scaling for digital solutions (inc funding)",0
"962","13th April: Frontline other","All","Innovation will come from industry and academia, engagement with them is vital for developing a good blueprint","Innovation and scaling for digital solutions (inc funding)",0.866
"963","13th April: Frontline other","All","Shared budgets and infrastructure where appropriate. Understanding of place.","Innovation and scaling for digital solutions (inc funding)",0.34
"964","13th April: Frontline other","All","Shared vision, consistent messaging and strategy ","Innovation and scaling for digital solutions (inc funding)",0.527
"965","13th April: Frontline other","All","Relationships and network building","Innovation and scaling for digital solutions (inc funding)",0
"966","13th April: Frontline other","All","We need larger and longer term investment to make posts that can meet needs, rather than short term secondments that aren't effective enough. This will be critical in this space as we are talking about huge changes here.","Innovation and scaling for digital solutions (inc funding)",-0.372
"967","13th April: Frontline digital leaders","All","the transformations have been enabled due to funding- will this continue? Otherwise  any 'visions' will fail!","Innovation and scaling for digital solutions (inc funding)",-0.439
"968","13th April: Frontline digital leaders","All","Sustained funding","Innovation and scaling for digital solutions (inc funding)",0
"969","13th April: Frontline digital leaders","All","Provide adequate funding for organisations to continue to modernise their digital solutions particularly the less digitally matured organisations","Innovation and scaling for digital solutions (inc funding)",0.382
"970","13th April: Frontline digital leaders","All","Finance!","Innovation and scaling for digital solutions (inc funding)",0
"971","13th April: Frontline digital leaders","All","Long term multi year planning and funding  ","Innovation and scaling for digital solutions (inc funding)",0
"972","13th April: Frontline digital leaders","All","AI - refined algorhym use","Innovation and scaling for digital solutions (inc funding)",0
"973","13th April: Frontline digital leaders","All","Regular evaluation of EPR systems and system learning encouraged","Innovation and scaling for digital solutions (inc funding)",0.361
"974","13th April: Frontline digital leaders","All","Remove the governance burden, like in the Pandemic, its better share than not. Especially in Primary care ","Innovation and scaling for digital solutions (inc funding)",0.8
"975","13th April: Frontline digital leaders","All","Seamless pathways supported by AI technologies to find infomormation and guidance quickly","Innovation and scaling for digital solutions (inc funding)",0.318
"976","13th April: Frontline digital leaders","All","Significantly more funding","Innovation and scaling for digital solutions (inc funding)",0
"977","13th April: Frontline digital leaders","All","1) A dynamic standards driven marketplace","Innovation and scaling for digital solutions (inc funding)",0.382
"978","13th April: Frontline digital leaders","All","clear objectives without specifiying speific digital solutions","Innovation and scaling for digital solutions (inc funding)",0.511
"979","13th April: Frontline digital leaders","All","Consistent funding for sustainable approach","Innovation and scaling for digital solutions (inc funding)",0
"980","13th April: Frontline digital leaders","All","Objectives aligned from the centre - sensible time scales and reasonable prioritisation","Innovation and scaling for digital solutions (inc funding)",0
"981","13th April: Frontline digital leaders","All","investment and clarity on entry and exit points to services","Innovation and scaling for digital solutions (inc funding)",0.402
"982","13th April: Frontline digital leaders","All","National data contract for free or cheap wifi for digitally excluded individuals","Innovation and scaling for digital solutions (inc funding)",0.226
"983","13th April: Frontline digital leaders","All","No more asks and those that are currently out there reduced and focussed. Funding opportunities should not be last minute, 2 week turn arounds, needs to be focussed and longer term. Training of staff, building a digital capable workforce,, use of analytics, marketing also vital","Innovation and scaling for digital solutions (inc funding)",0.637
"984","13th April: Frontline digital leaders","All","Pace of development with NHSApp needs to increase to enable more systems to integrate with it","Innovation and scaling for digital solutions (inc funding)",0.318
"985","13th April: Frontline digital leaders","All","Funding has many strands. Capital vs revenue is an issue. Ensuring we can utilise the funding for the partners who need it ie care providers/VCSE type organisations","Innovation and scaling for digital solutions (inc funding)",0.649
"986","13th April: Frontline digital leaders","All","More joined up funding approach would be great.  Very siloed funding currently with £x amount for levelling up maturity, £x for remote monitoring, £x for digitising social care etc","Innovation and scaling for digital solutions (inc funding)",0.807
"987","13th April: Frontline digital leaders","All","Digital solutions should be in place for access to own health data and wearable technologies","Innovation and scaling for digital solutions (inc funding)",0.178
"988","13th April: Frontline digital leaders","All","As per Stephen's comments - we need to address the funding flows - they are currently very 'lumpy' through a given year and always when new funding id available we have next to no time to bid for it. Address the revenue/capital issue","Innovation and scaling for digital solutions (inc funding)",-0.296
"989","13th April: Frontline digital leaders","All","Transformationa nd clutiral change - digital leadership from a clinical and service management perspective rather than technical","Innovation and scaling for digital solutions (inc funding)",0
"990","13th April: Frontline digital leaders","All","System level acknowledgement that cloud based tools can be funded without impacting revenue spend.","Innovation and scaling for digital solutions (inc funding)",0
"991","13th April: Frontline digital leaders","All","Funding - timely, advance and assured for maintenance of existing digital estate and for ongoing development","Innovation and scaling for digital solutions (inc funding)",0.361
"992","13th April: Frontline digital leaders","All","Funding to meet realistic demands of cyber security i.e SOC/SEIM at regional level","Innovation and scaling for digital solutions (inc funding)",0.34
"993","13th April: Frontline digital leaders","All","identification and support for inequalities in healthcare groups to access services digitally with appropriate funding","Innovation and scaling for digital solutions (inc funding)",0.402
"994","13th April: Frontline digital leaders","All","4) IT infrastructure seen as a hygiene factor","Innovation and scaling for digital solutions (inc funding)",0
"995","13th April: Frontline digital leaders","All","1) Playbooks, opportunity identification, alternate financial levers","Innovation and scaling for digital solutions (inc funding)",0.421
"996","13th April: Frontline digital leaders","All","Investment in remote monitoring. Clinicians supported to innovate through processes which enable and allow that, working in partnership with the patient groups they work with.","Innovation and scaling for digital solutions (inc funding)",0.751
"997","14th April: National Stakeholders","People & Communities","More timely availability of anonymised high quality data for research. PArticularly thinking for cancer it takes multiple years to get high quality staging data , so we won't know if we have met NHS Long Term PLan commitments until 2030.","Innovation and scaling for digital solutions (inc funding)",-0.633
"998","14th April: National Stakeholders","People & Communities","Better collection and availibility of anonymised data for research to allow for understanding variation between groups.","Innovation and scaling for digital solutions (inc funding)",0.586
"999","14th April: National Stakeholders","NHS Workforce","2) There is a resource light way to trial new processes where they represent limited risk to patients (will require local resources during pilot phase)","Innovation and scaling for digital solutions (inc funding)",-0.459
"1000","14th April: National Stakeholders","Social Care Workforce","creating those trusted links and ensuring that the value of new innovations is judged on 3 criteria: whether digital ways of working enhance quality of life for the individual","Innovation and scaling for digital solutions (inc funding)",0.832
"1001","14th April: National Stakeholders","NHS Workforce","A more fully realised profile of patients based on their interests and lifestyle (e.g. social media, marketing profiles etc) as well as personalised care plans to help tailor care. With data tailored to specific roles ","Innovation and scaling for digital solutions (inc funding)",0.904
"1002","14th April: National Stakeholders","NHS Workforce","Funding to bring all providers up to minimum standard","Innovation and scaling for digital solutions (inc funding)",0
"1003","14th April: National Stakeholders","Social Care Workforce","a robust ethical framework for digital and data innovation","Innovation and scaling for digital solutions (inc funding)",0.807
"1004","14th April: National Stakeholders","Industry & Suppliers","2) A clear route through different levels of interaction with the system. e.g. ensuring there is a clear progression from Pilots to wider spread and scaled adoption. This would make commissioning easier when you can see progress, evidence and measures of success/outcomes.","Innovation and scaling for digital solutions (inc funding)",0.898
"1005","14th April: National Stakeholders","Industry & Suppliers","3) A transparent procurement platform which is integrated with the standards and regulatory requirements for the challenge areas","Innovation and scaling for digital solutions (inc funding)",0.077
"1006","19th April: Confed MH Providers","All","Need to build clinical case","Innovation and scaling for digital solutions (inc funding)",0
"1007","19th April: Confed MH Providers","All","Funding","Innovation and scaling for digital solutions (inc funding)",0
"1008","19th April: techUK session","All","Continued monitoring of the digitalised platform once it has been rolled out ensuring the correct pathways are being met  ","Innovation and scaling for digital solutions (inc funding)",0.273
"1009","19th April: techUK session","All","Routine adoption of digital therapeutics at commissioner, clinician, and patient levels","Innovation and scaling for digital solutions (inc funding)",0
"1010","19th April: techUK session","All","#NAME?","Innovation and scaling for digital solutions (inc funding)",0
"1011","Q1 - 14 April - Social Care Engagement Session","Social Care Workforce","need for choice of supplier and model","Innovation and scaling for digital solutions (inc funding)",0
"1012","Q1 - 14 April - Social Care Engagement Session","Social Care Workforce","there was is lot of trial and error involved in finding the right fit for technology, and some people can’t afford that.","Innovation and scaling for digital solutions (inc funding)",-0.052
"1013","Q1 - 14 April - Social Care Engagement Session","Social Care Workforce","data that is used is fundamentally flawed and therefore not as useful for predicting need.","Innovation and scaling for digital solutions (inc funding)",-0.671
"1014","Q2 - 14 April - Social Care Engagement Session","Social Care Workforce","How does the money actually get into the hands of those that need it for using technology - and what are our expectations of LA's if it is given to them","Innovation and scaling for digital solutions (inc funding)",0
"1015","Q2 - 14 April - Social Care Engagement Session","Social Care Workforce","We need an innovation fund","Innovation and scaling for digital solutions (inc funding)",0.382
"1016","All External workshop form responses","All","very little difference in short term, needs incremental evolutionally approach","Innovation and scaling for digital solutions (inc funding)",0
"1017","All External workshop form responses","All","less time trying to chase things from other organisations, less time completing referral forms, being able to move patients seamlessly to the right organisation, deal with workforce shortage by harnessing technology","Innovation and scaling for digital solutions (inc funding)",-0.25
"1018","All External workshop form responses","All","It seems very little different for patients. Why not a national health record? What about better use of the App? What about digital triage to get into the right part of the system more quickly and more efficiently?","Innovation and scaling for digital solutions (inc funding)",0.753
"1019","All External workshop form responses","All","Our compelling workforce challenges in health and social care particularly for the delivery of community based care will be alleviated by the widescale use of TEC to reduce physical visits from risk based assessments utilising monitoring and rapid response services when necessary.","Innovation and scaling for digital solutions (inc funding)",0.758
"1020","All External workshop form responses","All","Navigation through care needs to be modern with Care is transparent","Innovation and scaling for digital solutions (inc funding)",0.751
"1021","All External workshop form responses","All","Benefit: access, collaboration across agencies, multidisciplinary working
 Risk: digital as exclusion to non digital approach to care if the patient needs that, too much signposting and little else support, confusion about responsibility and care coordination","Innovation and scaling for digital solutions (inc funding)",0.764
"1022","All External workshop form responses","All","3. Use best of breed decision-support (much of 111 etc. appears to be very risk averse)","Innovation and scaling for digital solutions (inc funding)",0.423
"1023","All External workshop form responses","All","Electronic shared care will be a fact, not just a wish.","Innovation and scaling for digital solutions (inc funding)",0.517
"1024","All External workshop form responses","All","5. Support escalation of messaging - we have to move away from letters/messages being in personal inboxes when those individuals are on Leave/maternity etc....","Innovation and scaling for digital solutions (inc funding)",0.402
"1025","All External workshop form responses","All","If successful, should mean fewer obstacles for people who need a combination of health and social care support - reduce barriers and bouncing of people between funding mechanisms? for example the issues with Continuing Healthcare v Social Care. Better value placed on social care and understanding of impact and system - better coordinated support. Support available to people easily and accessibly from services to help navigate and advocate for people across systems. Flexible support that suits people best rather than is locked into narrow route of how you can access support - more time for face-to-face support for those who need it and for more complex issues, concerns, support.","Innovation and scaling for digital solutions (inc funding)",0.993
"1026","All External workshop form responses","All","New technology will be utilised far more to allow the management of patient care away from the hospital environment and in to the home.","Innovation and scaling for digital solutions (inc funding)",0.657
"1027","All External workshop form responses","All","2. Joined up care/records - being able to see everything in one place, people with multi-morbidities shouldn't have to keep repeating their medical history etc, having multidisciplinary teams being able to provide holistic care (GPs, consultant specialists, pharmacists, physiotherapists, mental health services, social workers etc).","Innovation and scaling for digital solutions (inc funding)",0.494
"1028","All External workshop form responses","All","The barrier for suppliers to work with the NHS is not prohibitively high - instead it will promote rather than stifle innovation","Innovation and scaling for digital solutions (inc funding)",0.572
"1029","All External workshop form responses","All","Proper transformational change people but also an industry that actually understands what digital medicine/nursing is rather than here is a programme go and use it. I do not see this happening by 2025 and there will therefore be a lot of frustrated people","Innovation and scaling for digital solutions (inc funding)",-0.681
"1030","All External workshop form responses","All","We need to truly level-up, there shouldn't be a postcode lottery about digital - or clinical care...","Innovation and scaling for digital solutions (inc funding)",0.727
"1031","All External workshop form responses","All","Robust infrastructure - a pre-requisite to joined up care.
 Seamless integration of primary care, secondary care and social care.
 Digital pioneers/leadership embedded across health and care organisations (e.g CCIOs).","Innovation and scaling for digital solutions (inc funding)",0.955
"1032","All External workshop form responses","All","A transformative level of funding","Innovation and scaling for digital solutions (inc funding)",0
"1033","All External workshop form responses","All","Integrate TEC into our health and social care pathways eg hospital discharge/reablement
 Support Care Providers with their digital gap","Innovation and scaling for digital solutions (inc funding)",0.844
"1034","All External workshop form responses","All","Bold vision","Innovation and scaling for digital solutions (inc funding)",0.557
"1035","All External workshop form responses","All","Digital appointments via an app, quick assessment and feedback / advice, information/signposting and psychoeducation readily available, new treatment modalities enabled, outcomes, patient feedback to continually improve","Innovation and scaling for digital solutions (inc funding)",0.44
"1036","All External workshop form responses","All","Changes in funding, governance and design.","Innovation and scaling for digital solutions (inc funding)",0
"1037","All External workshop form responses","All","#NAME?","Innovation and scaling for digital solutions (inc funding)",0
"1038","All External workshop form responses","All","Platforms that allow multidisciplinary approaches to care. Clear pathways of care set up and managed through virtual ward technology. The use of different virtual ward tech to allow companies to develop their offerings and continue to improve as they are used more","Innovation and scaling for digital solutions (inc funding)",0.929
"1039","All External workshop form responses","All","Further work on refocusing away from organisational boundaries to clinically led pathways - virtual wards as the classis example","Innovation and scaling for digital solutions (inc funding)",0
"1040","All External workshop form responses","All","Utilising an internationally recognised assessment framework like HiMSS to establish just what priorities each healthcare organisation within an ICS has, would provide both a benchmark for digital maturity, and a technical and budgeting plan upon which to base future decision upon. Those organisations that are more digitally mature can provide blueprints to those whoe are less digitally mature. A series of vanguards and fast followers can be established within each ICS to improve digital maturity and provide further lessons learned and best practise for other healthcare organisations - what good looks like. If every organisation is measured against a standardised model, it would provide a clear and direct journey to digital maturity and would prevent wasting funding on ego trips that are doomed to fail before even getting started.","Innovation and scaling for digital solutions (inc funding)",0.898
"1041","Personalised Care Group Session Responses - Strategic Co-Production Group","All","Does the vision include a health passport? as it not always possible to carry this round in an emergency.","Innovation and scaling for digital solutions (inc funding)",-0.153
"1042","Personalised Care Group Session Responses - Strategic Co-Production Group","All","Multi-language tirage platforms with the AI algorithms and human contact to ensure cases that cannot be fully determined/resolved can be redirected to experienced decision makers.","Innovation and scaling for digital solutions (inc funding)",0.382
"1043","Personalised Care Group Session Responses - Strategic Co-Production Group","All","Service in terms of the type of appointments; patient facing staff could get and also patients would be able to look at the information at the same time on screen rather than look at staff","Innovation and scaling for digital solutions (inc funding)",0
"1044","Personalised Care Group Session Responses - Industry Feedback","All","Clever Med, not just about delivering software, delivering through a trusted system which is a managed service solution.","Innovation and scaling for digital solutions (inc funding)",0.813
"1045","Personalised Care Group Session Responses - Industry Feedback","All","Ditgitally create solutions for problems in the personalised healthcare space.","Innovation and scaling for digital solutions (inc funding)",0.026
"1046","Personalised Care Group Session Responses - Industry Feedback","All","Requires proper funding – short term funding streams with everyone writing applications isn’t a good use of resources.","Innovation and scaling for digital solutions (inc funding)",0.44
"1047","Personalised Care Group Session Responses - Industry Feedback","All","There needs to be funding in place to enable the transformation, and the delivery of that funding needs to be thought through, a lot of time is wasted by trusts having to bid for funding, and then they often don’t have time to deliver on it properly.","Innovation and scaling for digital solutions (inc funding)",-0.026
"1048","Personalised Care Group Session Responses - Industry Feedback","All","LA system is broken – some are very poor – limited resources to spend and innovate,","Innovation and scaling for digital solutions (inc funding)",-0.666
"1049","Personalised Care Group Session Responses - Industry Feedback","All","As part of the ICSs, funding needs to be available to allow LAs to project manage and implement new systems, some LAs don’t have the internal project management to roll out products even if it was free – this is a key enabler","Innovation and scaling for digital solutions (inc funding)",0.637
"1050","Personalised Care Group Session Responses - C4PC","All","Governance and IT challenges prevent innovation within the system and therefore hinder progress.","Innovation and scaling for digital solutions (inc funding)",0.7
"1051","Personalised Care Group Session Responses - C4PC","All","New services and innovation need to be bold and brave and to challenge the existing rhetoric.","Innovation and scaling for digital solutions (inc funding)",0.836
"1052","26th April- People & Communities","All","Technology issues in the meeting - frustration with this and links to glitches in health technology - needs to be properly tested, fit for purpose, seamless and easily accessible - time spent on user experience and design 
Adverse effect of technological difficulties on those with MH issues","Innovation and scaling for digital solutions (inc funding)",-0.44
"1053","26th April- People & Communities","All","You will need to get the digital up and running if you want to roll out personalized care and personal health budgets.","Innovation and scaling for digital solutions (inc funding)",0.542
"1054","26th April- ABHI","All","What about scalability. Need to think about regulation. Could we pre-certify companies","Innovation and scaling for digital solutions (inc funding)",0
"1055","All DHCP mailbox comments","All","adoption of digital therapeutics for mental health at scale in the NHS, focusing on barriers at the commissioner level.","Innovation and scaling for digital solutions (inc funding)",0
"1056","19th April: techUK session","All","comprehensive / working patient app that tracks the patient journey and integrates support tools","Citizen data control and trust in data",0.572
"1057","All External workshop form responses","All","uniform digital records that transfer information and can be accessed in any health or care setting. and by patients, clients, service users, residents...","Citizen data control and trust in data",0.494
"1058","19th April: Health & Wellbeing Alliance","All","Not clear what we mean by joined up because it’s so fragmented","Data access and interoperability for the frontline",-0.292
"1059","19th April: techUK session","All","2) change in culture around patient co-ordination/lead clinician type arrangements - right now each service accessed has a lead clinician for that patient - it would be great to have one person that is lead across all the services accessed and co-ordinates that","data access and interoperability for the frontline",0.625
"1060","19th April: techUK session","All","Digital pathways need to be built into nice and royal college guidelines and become  and integral part of these.","Data access and interoperability for the frontline",0.421
"1061","19th April: techUK session","All","Standards and guidance around how different suppliers' records can be linked up in a commercially sensitive way","data access and interoperability for the frontline",0
"1062","19th April: techUK session","All","Centralised clinician command centres using AI based alerting etc. with rapid response teams","data access and interoperability for the frontline",0
"1063","19th April: techUK session","All","Create consistent architecture, streamline offers (what is the role of the NHS App). ","data access and interoperability for the frontline",0.273
"1064","19th April: techUK session","All","National pathways, sort tariffs, find mechanism to prevent care systems using analogue where not necessary ","data access and interoperability for the frontline",0.511
"1065","26th April- People & Communities","All","Admin dreadful","data access and interoperability for the frontline",-0.44
"1066","13th April: Frontline digital leaders","All","would hope greater understanding of digital healthcare","data access and interoperability for the frontline",0.66
"1067","6th April: Frontline digital leaders","Health & Care Workforce","Heard of digital professional but not sure how this tackles the issues discussed","Digital readiness of the workforce and leadership",-0.349
"1068","19th April: Health & Wellbeing Alliance","All","What does VCSE need","Digital readiness of the workforce and leadership",0
"1069","19th April: techUK session","All","- Clear guidance for commissioners on where to look, what works, and how to buy (+ dedicated funding to enable)","Digital readiness of the workforce and leadership",0.681
"1070","19th April: Health & Wellbeing Alliance","All","Workforce, capacity and training","Digital readiness of the workforce and leadership",0
"1071","19th April: techUK session","All","A “Netflix” style service where AI can track previous decisions and preferences to shape the offer of health and care to the patient, or help them choose a specific pathway.","Efficiency, insights and prevention",0.71
"1072","19th April: techUK session","All","Delivering change is an evergreen approach so carries on after the tech roll out ","Efficiency, insights and prevention",0
"1073","6th April: Frontline digital leaders","Health & Care Workforce","Futures bright, we will have moved on next 2-3 years there will - levelling up, feels like it’s the big question","Other",0.66
"1074","14th April: National Stakeholders","People & Communities","How confident are you that 75% of adults will be registered on the NHS app?","Other",0.494
"1075","19th April: techUK session","All","Moving today's clinicians to an oversight type role over wider groups of people ","Other",0
"1076","19th April: techUK session","All","Lower carbon footprint - staff and patients aware of impact of access choices. ","Other",-0.296
"1077","19th April: techUK session","All","Funding, boundaries and budgets across health are currently a barrier to success.","Other",0.494
"1078","19th April: techUK session","All","Needing to keep to delivery timeline commitments. For example delays in WGLL guidance has material impact on ICS planning.","Other",0.128
"1079","19th April: techUK session","All","Realism about whether we will achieve deliverables by 2025 and what BAU might look like then first.","Other",0.361
"1080","All External workshop form responses","All","Bearing in mind I work in Digital in NHSEI and engagement has been happening in March and April, how have I not seen this before? If we are listening how are we capturing everyone's voices and ideas? We need to collaborate more.","Other",0.52
"1081","19th April: Health & Wellbeing Alliance","All","Gov’t lack of understanding for the complexity of social care","personalised care and inclusive service design",0.226
"1082","6th April: Frontline digital leaders","Health & Care Workforce","Realistic approach","Personalised care and inclusive service design",0
"1083","6th April: Frontline digital leaders","Health & Care Workforce","3) Recognition in NHS that Social Care is not just Care Homes and housebound care!!","Personalised care and inclusive service design",0.655
"1084","26th April- People & Communities","All","Has become much more difficult to access appointments/services. Stop using aspitational language. Use decent and honest language. Accept it is quite primitive. Stop setting targets that can’t be met. Stop politicising","Personalised care and inclusive service design",-0.416
"1085","26th April- People & Communities","All","People need the confidence to interact with and speak up about their health records","Personalised care and inclusive service design",0.511
"1086","26th April- People & Communities","All","In my experience there is a real disconnect between theory and promise on the one hand, and reality and lived experience on the other. Please try to be honest, objective and realistic.","Personalised care and inclusive service design",0.878
"1087","26th April- People & Communities","All","Who will pay for the internet when you cannot afford food?","Personalised care and inclusive service design",-0.103
"1088","26th April- People & Communities","All","In the future you will have two tiers those that can afford internet and those that cannot.","Personalised care and inclusive service design",0
"1089","6th April: Frontline digital leaders","People & Communities","Well connected communities that supports quality of life and empowerment of self management of health conditions","Personalised care and inclusive service design",0.557
"1090","6th April: Frontline digital leaders","People & Communities","Greater equity in accessing services - and using data to inform real time interventions and responsiveness to Health inequalities","Personalised care and inclusive service design",0.361
"1091","6th April: Frontline digital leaders","People & Communities","Focus on inclusive and user focused service design etc ","Personalised care and inclusive service design",0.382
"1092","6th April: Frontline digital leaders","People & Communities","Virtual Wards and virtual hospitals","Personalised care and inclusive service design",0
"1093","6th April: Frontline digital leaders","People & Communities","remote monitoring for the highest risk of the population using smart phone technology and medical devices.  Prescribed where needed.","Personalised care and inclusive service design",0.153
"1094","6th April: Frontline digital leaders","People & Communities","All of the offer will be as well designed and easy to use as my online shopping/banking/social media experience","Personalised care and inclusive service design",0.612
"1095","6th April: Frontline digital leaders","People & Communities","Every person who wants to use digital tools to support their health and wellbeing will have access to devices and data to do so - with socioeconomic status etc not being a barrier","Personalised care and inclusive service design",0.471
"1096","6th April: Frontline digital leaders","People & Communities","People will have access to relevant, safe, usable digital tools to support their care  and the skills to do so","Personalised care and inclusive service design",0.832
"1097","6th April: Frontline digital leaders","People & Communities","People who do not wish to engage in digital support for their health & care will continue to have accessible alternative routes to care and support, and not feel stigmatised for not engaging digitally","Personalised care and inclusive service design",0.756
"1098","6th April: Frontline digital leaders","People & Communities","I can access it in a way that i understand and feel comfortable with","Personalised care and inclusive service design",0.511
"1099","6th April: Frontline digital leaders","People & Communities","Patients will be able to access and control their care needs","Personalised care and inclusive service design",0.494
"1100","6th April: Frontline digital leaders","People & Communities","An ability to book and manage appointments on line ","Personalised care and inclusive service design",0.318
"1101","6th April: Frontline digital leaders","People & Communities","Devices and kit as part of every day life (Alexa Google etc) as options to monitor and manage my own health linked to health care services and systems","Personalised care and inclusive service design",0.494
"1102","6th April: Frontline digital leaders","People & Communities","90% of all health appointments (not requiring physical assessment should be virtual and remove the need to travel to clinics etc","Personalised care and inclusive service design",0
"1103","6th April: Frontline digital leaders","People & Communities","Well defined service access points (digital & non-digital)","Personalised care and inclusive service design",0.273
"1104","6th April: Frontline digital leaders","People & Communities","improved capacity and accessibility ","Personalised care and inclusive service design",0.477
"1105","6th April: Frontline digital leaders","People & Communities","free connectivity for every citizen for health or social care appointments","Personalised care and inclusive service design",0.758
"1106","6th April: Frontline digital leaders","People & Communities","connected appointments management system via NHS app","Personalised care and inclusive service design",0
"1107","6th April: Frontline digital leaders","People & Communities","Greater evidence and experience of person involvement and co-design with more measurable outcomes/ experiences being met ","Personalised care and inclusive service design",0.361
"1108","6th April: Frontline digital leaders","People & Communities","Use of digital channels / interactions is easy and accessible. They are part of a process and choice - not clunkily added on","Personalised care and inclusive service design",0.44
"1109","6th April: Frontline digital leaders","People & Communities","Common access mechanism for all patient needs, Near real time interactions and video appointments. View of all persons recods and needs.remote monitoring info and integration","Personalised care and inclusive service design",0
"1110","6th April: Frontline digital leaders","People & Communities","Device agnostic digital inclusion  for all from anywhere","Personalised care and inclusive service design",0
"1111","6th April: Frontline digital leaders","People & Communities","The big phone providers will be including the chosen front door in their mobile core apps without being able to opt out of notifications","Personalised care and inclusive service design",0
"1112","6th April: Frontline digital leaders","People & Communities","Remote Monitoring","Personalised care and inclusive service design",0
"1113","6th April: Frontline digital leaders","People & Communities","Virtual Consulations","Personalised care and inclusive service design",0
"1114","6th April: Frontline digital leaders","People & Communities","patients are directed to services through available service directories dependent on need","Personalised care and inclusive service design",0
"1115","6th April: Frontline digital leaders","People & Communities","1. Patient is directly involved in their own care through self care","Personalised care and inclusive service design",0.751
"1116","6th April: Frontline digital leaders","People & Communities","I can contact my clinicians directly when I need to using IM and apps.  It's easy for me.","Personalised care and inclusive service design",0.44
"1117","6th April: Frontline digital leaders","People & Communities","I can see my records, book, change or defer appointments, As organisations transfer my care they contact me pro-actively without me needing to chase them.  I even get appointment notifications before the appointment occurs!","Personalised care and inclusive service design",0.316
"1118","6th April: Frontline digital leaders","People & Communities","Proactive services with personal preferences already known","Personalised care and inclusive service design",0.421
"1119","6th April: Frontline digital leaders","People & Communities","Option to virtually see a clinician as part of standard appointments","Personalised care and inclusive service design",0
"1120","6th April: Frontline digital leaders","People & Communities","Greater wellbeing advice and guidance","Personalised care and inclusive service design",0.361
"1121","6th April: Frontline digital leaders","People & Communities","Patients are seen as people, they want to feel as if they are trusted and have the ability to own their health and care ","Personalised care and inclusive service design",0.836
"1122","6th April: Frontline digital leaders","People & Communities","The system will consider the things that are important to patients i.e. patient is self employed therefore costs of travel may be affected depending on work flow","Personalised care and inclusive service design",0.052
"1123","6th April: Frontline digital leaders","People & Communities","We have found a successful way of not excluding the digitally excluded and that BCP continue to support those that don't use digital","Personalised care and inclusive service design",0.625
"1124","6th April: Frontline digital leaders","People & Communities","Choice and personal ownership.","Personalised care and inclusive service design",0
"1125","6th April: Frontline digital leaders","People & Communities","Feel like a customer. Empowered and informed to manage my own health and care. In control of who I see, when and where. Access to service 24/7.","Personalised care and inclusive service design",0.691
"1126","6th April: Frontline digital leaders","People & Communities","Patients know where they are in the system, available digitally within a defined digital clinical pathway.","Personalised care and inclusive service design",0
"1127","6th April: Frontline digital leaders","People & Communities","Access to care, anytime, anywhere on any device. NHS App as the front door.","Personalised care and inclusive service design",0.494
"1128","6th April: Frontline digital leaders","People & Communities","If i have a long term condition, I will be able to manage this in a targeted way for me - whether that is a targeted treatment plan (eg. do I need a F2F appot or just a asynchronous review) and targeted health advice, either singposted or given by the clinician. As a partient, I wouldn't want to hear about my treatment plan in a letter to the GP. ","Personalised care and inclusive service design",-0.057
"1129","6th April: Frontline digital leaders","People & Communities","3)  Hospital care will be delivered based on scan4safety standards. staff, patients and equipment monitored using RFID / RTLS, which leads to patient level costings and tracability of all equipment and activity","Personalised care and inclusive service design",0.494
"1130","6th April: Frontline digital leaders","Health & Care Workforce","Different options for providing care","Personalised care and inclusive service design",0.494
"1131","6th April: Frontline digital leaders","Health & Care Workforce","Challenge to those less digitally able","Personalised care and inclusive service design",0.077
"1132","6th April: Frontline digital leaders","Health & Care Workforce","introduction of new ways of working - video consultations  - very positive - how quickly things can happen when barriers are removed - ","Personalised care and inclusive service design",0.598
"1133","6th April: Frontline digital leaders","Health & Care Workforce","Be able to have overview of patient journey - health and social care","Personalised care and inclusive service design",0.494
"1134","6th April: Frontline digital leaders","Health & Care Workforce","Be able to have conversations with patients directly, enabled patients in their own homes to direct care needs","Personalised care and inclusive service design",0.494
"1135","6th April: Frontline digital leaders","Health & Care Workforce","Digital shouldn't feel like digital - it should feel easy and automatic specific to the patient and professional","Personalised care and inclusive service design",0.2
"1136","6th April: Frontline digital leaders","Health & Care Workforce","Better UI needs","Personalised care and inclusive service design",0.44
"1137","6th April: Frontline digital leaders","Health & Care Workforce","Feel moreengaged with theit patients / service users whole journey rather than the single part they can see","Personalised care and inclusive service design",0
"1138","6th April: Frontline digital leaders","Health & Care Workforce","Person Held Records - use them to re-invent care pathways not just as a convenience tool","Personalised care and inclusive service design",0.494
"1139","6th April: Frontline digital leaders","Health & Care Workforce","Running health is about more than just front line clinicians","Personalised care and inclusive service design",0
"1140","6th April: Frontline digital leaders","Health & Care Workforce","Clinician - patient interactions improved by better triage and data capture prior to appointments ","Personalised care and inclusive service design",0.718
"1141","6th April: Frontline digital leaders","Health & Care Workforce","Patients will have full visibility of secondary care health records data in one place via NHS app or similar.  This will help them to drive their own health decisions and where they continue to seek treatment in the NHS.","Personalised care and inclusive service design",0.71
